filename,H,pitch,accurate,correct,performance,,,,,,,,,,
DJI_20250318172007_0017_V.JPG,50,-89.9,0.998348096,1,0.998348096,,,,,,,,,,
DJI_20250527174421_0038_V.JPG,50,-89.9,0,0,0,,,,,,,,,,
DJI_20250527174424_0040_V.JPG,50,-89.9,0,1,0,,,,,,,,,,
DJI_20250527174425_0041_V.JPG,50,-89.9,0,1,0,,,,,,,,,,
DJI_20250527174422_0039_V.JPG,50,-89.9,0,0,0,,,,,,,,,,
DJI_20250527174408_0032_V.JPG,50,-89.9,0,0,0,,,,,,,,,,
DJI_20250527174410_0033_V.JPG,50,-89.9,0,0,0,,,,,,,,,,
DJI_20250527174412_0034_V.JPG,50,-89.9,0,0,0,,,,,,,,,,
DJI_20250601174008_0044_V.JPG,50,-89.9,0.58106277,1,0.58106277,,,,,,,,,,
DJI_20250601174039_0045_V.JPG,50,-89.9,0.460088069,1,0.460088069,,,,,,,,,,
DJI_20250601173816_0039_V.JPG,50,-89.9,0.560310655,1,0.560310655,,,,,,,,,,
DJI_20250601173209_0013_V.JPG,50,-89.9,0.508222106,1,0.508222106,,,,,,,,,,
DJI_20250318171930_0013_V.JPG,60,-89.9,0.972637902,1,0.972637902,,,,,,,,,,
DJI_20250318171555_0006_V.JPG,60,-89.9,0.933776152,0,0,,,,,,,,,,
DJI_20250318171552_0005_V.JPG,60,-89.9,0.941333871,0,0,,,,,,,,,,
DJI_20250318171550_0004_V.JPG,60,-89.9,0.901567105,0,0,,,,,,,,,,
DJI_20250318171729_0009_V.JPG,60,-89.9,0.883390417,1,0.883390417,,,,,,,,,,
DJI_20250318171719_0008_V.JPG,60,-89.9,0.72823108,1,0.72823108,,,,,,,,,,
DJI_20250601173255_0014_V.JPG,60,-89.9,0.521067976,1,0.521067976,,,,,,,,,,
DJI_20250601173259_0015_V.JPG,60,-89.9,0.293507971,1,0.293507971,,,,,,,,,,
DJI_20250318172822_0051_V.JPG,60,-89.9,0.606473407,1,0.606473407,,,,,,,,,,
DJI_20250527173848_0001_V.JPG,60,-89.9,0.506599741,1,0.506599741,,,,,,,,,,
DJI_20250527173926_0003_V.JPG,60,-89.9,0.410975773,1,0.410975773,,,,,,,,,,
DJI_20250318173014_0055_V.JPG,60,-89.9,0.728174992,1,0.728174992,,,,,,,,,,
DJI_20250527173958_0004_V.JPG,60,-89.9,0.532003771,1,0.532003771,,,,,,,,,,
DJI_20250318172939_0053_V.JPG,60,-89.9,0.873893406,1,0.873893406,,,,,,,,,,
DJI_20250318172917_0052_V.JPG,60,-89.9,0.875570833,1,0.875570833,,,,,,,,,,
DJI_20250602163545_0018_V.JPG,60,-89.9,0.387760521,1,0.387760521,,,,,,,,,,
DJI_20250602162017_0027_V.JPG,60,-89.9,0.539853181,1,0.539853181,,,,,,,,,,
DJI_20250601173031_0006_V.JPG,60,-89.9,0,1,0,,,,,,,,,,
DJI_20250402175355_0030_V.JPG,60,-89.9,0.921616492,1,0.921616492,,,,,,,,,,
DJI_20250601173026_0005_V.JPG,60,-89.9,0,1,0,,,,,,,,,,
DJI_20250602162926_0068_V.JPG,70,-89.9,0.420564597,1,0.420564597,,,,,,,,,,
DJI_20250602161719_0018_V.JPG,70,-89.9,0,1,0,,,,,,,,,,
DJI_20250601173101_0010_V.JPG,70,-89.9,0,1,0,,,,,,,,,,
DJI_20250602162024_0028_V.JPG,70,-89.9,0,1,0,,,,,,,,,,
DJI_20250527174648_0064_V.JPG,70,-89.9,0.669334756,1,0.669334756,,,,,,,,,,
DJI_20250527174612_0060_V.JPG,70,-89.9,0.314542258,1,0.314542258,,,,,,,,,,
DJI_20250527174618_0062_V.JPG,70,-89.9,0,1,0,,,,,,,,,,
DJI_20250402170159_0064_V.JPG,80,-89.9,0.225467946,1,0.225467946,,,,,,,,,,
DJI_20250402170210_0065_V.JPG,80,-89.9,0.517415245,1,0.517415245,,,,,,,,,,
DJI_20250602162030_0029_V.JPG,80,-89.9,0,1,0,,,,,,,,,,
DJI_20250527174711_0067_V.JPG,80,-89.9,0.402197473,1,0.402197473,,,,,,,,,,
