filename,H,pitch,accurate,correct,performance,,
DJI_20250318172054_0020_V.JPG,58.138,-58.9,0.068184586,1,0.068184586,,
DJI_20250318172431_0033_V.JPG,63.223,-73.3,0.458180239,1,0.458180239,,
DJI_20250318172605_0040_V.JPG,63.173,-76.2,0.343325076,1,0.343325076,,
DJI_20250318172738_0050_V.JPG,62.924,-80.1,0.213340501,1,0.213340501,,
DJI_20250318173938_0013_V.JPG,55.504,-90,0.968571901,1,0.968571901,,
DJI_20250401164548_0036_V.JPG,39.484,-90,0.722878202,1,0.722878202,,
DJI_20250402175155_0025_V.JPG,57.055,-78.7,0,1,0,,
DJI_20250527173926_0003_V.JPG,63.987,-89.9,0.059490428,1,0.059490428,,
DJI_20250527174610_0059_V.JPG,79.277,-90,0,1,0,,
DJI_20250527174708_0066_V.JPG,113.966,-90,0.169039926,1,0.169039926,,
DJI_20250601173058_0009_V.JPG,73.862,-90,0,1,0,,
DJI_20250602164054_0077_V.JPG,56.055,-90,0.113007588,1,0.113007588,,
DJI_20250602164056_0078_V.JPG,59.567,-90,0.030179148,1,0.030179148,,
DJI_20250603180225_0018_V.JPG,43.767,-90,0.125467821,1,0.125467821,,
DJI_20250603180338_0019_V.JPG,31.874,-90,0,1,0,,
DJI_20250603180348_0022_V.JPG,25.317,-89.9,0.595933016,1,0.595933016,,
DJI_20250603180351_0023_V.JPG,23.576,-90,0.671632424,1,0.671632424,,
DJI_20250603180515_0025_V.JPG,31.877,-90,0.043189565,1,0.043189565,,
DJI_20250318171930_0013_V.JPG,60.774,-89.9,0.939871631,1,0.939871631,,
DJI_20250318171932_0014_V.JPG,60.812,-90,0.887233877,1,0.887233877,,
DJI_20250318171958_0015_V.JPG,54.799,-90,0.873571832,1,0.873571832,,
DJI_20250318172002_0016_V.JPG,54.697,-89.9,0.998424427,1,0.998424427,,
DJI_20250318172007_0017_V.JPG,54.792,-89.9,0.956839956,1,0.956839956,,
DJI_20250318172011_0018_V.JPG,54.873,-90,0.648887534,1,0.648887534,,
DJI_20250318171532_0003_V.JPG,61.46,-90,0.605877478,1,0.605877478,,
DJI_20250318171550_0004_V.JPG,61.332,-89.9,0.889678455,1,0.889678455,,
DJI_20250318171552_0005_V.JPG,61.321,-89.9,0.95193427,1,0.95193427,,
DJI_20250318171555_0006_V.JPG,61.215,-89.9,0.949280754,1,0.949280754,,
DJI_20250318171709_0007_V.JPG,61.465,-90,0.243469531,1,0.243469531,,
DJI_20250318171719_0008_V.JPG,61.685,-89.9,0.564794824,1,0.564794824,,
DJI_20250318171729_0009_V.JPG,61.595,-89.9,0.592628203,1,0.592628203,,
DJI_20250318171815_0011_V.JPG,62.618,-90,0.386728882,1,0.386728882,,
DJI_20250318172057_0021_V.JPG,57.984,-60.6,0.057603586,1,0.057603586,,
