filename,H,pitch,accurate,correct,performance,,,
DJI_20250401163439_0003_V.JPG,26.501,-90,0.693189882,1,0.693189882,,,
DJI_20250601173732_0035_V.JPG,54.687,-89.9,0.691426262,1,0.691426262,,,
DJI_20250602163525_0012_V.JPG,39.11,-90,0.680026167,1,0.680026167,,,
DJI_20250401163432_0002_V.JPG,26.485,-90,0.67995482,1,0.67995482,,,
DJI_20250602161902_0021_V.JPG,35.315,-89.9,0.672457686,1,0.672457686,,,
DJI_20250318171719_0008_V.JPG,61.685,-89.9,0.67105288,1,0.67105288,,,
DJI_20250601174432_0007_V.JPG,56.674,-84.4,0.670888307,1,0.670888307,,,
DJI_20250318172054_0020_V.JPG,58.138,-58.9,0.670094809,1,0.670094809,,,
DJI_20250402175227_0028_V.JPG,57.228,-78.7,0.667665649,1,0.667665649,,,
DJI_20250318171532_0003_V.JPG,61.46,-90,0.666821251,1,0.666821251,,,
DJI_20250318172332_0024_V.JPG,63.353,-73.3,0.664246217,1,0.664246217,,,
DJI_20250318172350_0025_V.JPG,63.612,-73.3,0.664103644,1,0.664103644,,,
DJI_20250318171815_0011_V.JPG,62.618,-90,0.657991698,1,0.657991698,,,
DJI_20250318173221_0058_V.JPG,64.309,-90,0.648279514,1,0.648279514,,,
DJI_20250318172822_0051_V.JPG,62.678,-89.9,0.644994775,1,0.644994775,,,
DJI_20250602162024_0028_V.JPG,78.29,-89.9,0.643209239,1,0.643209239,,,
DJI_20250527173848_0001_V.JPG,63.944,-89.9,0.633478028,1,0.633478028,,,
DJI_20250602163625_0024_V.JPG,46.205,-81,0.623896167,1,0.623896167,,,
DJI_20250318172732_0049_V.JPG,62.969,-80.1,0.617406025,1,0.617406025,,,
DJI_20250527174702_0065_V.JPG,108.761,-90,0.616794069,1,0.616794069,,,
DJI_20250602163528_0013_V.JPG,41.008,-90,0.614900467,1,0.614900467,,,
DJI_20250601174526_0014_V.JPG,54.191,-84.4,0.613817874,1,0.613817874,,,
DJI_20250602162829_0056_V.JPG,37.373,-89.9,0.605562353,1,0.605562353,,,
DJI_20250601173932_0040_V.JPG,47.291,-90,0.605414047,1,0.605414047,,,
DJI_20250602162821_0054_V.JPG,36.3,-89.9,0.604492011,1,0.604492011,,,
DJI_20250602163620_0023_V.JPG,42.741,-81,0.602887392,1,0.602887392,,,
DJI_20250601174529_0015_V.JPG,57.647,-84.4,0.600504592,1,0.600504592,,,
DJI_20250602163533_0015_V.JPG,48.658,-90,0.59786154,1,0.59786154,,,
DJI_20250602163536_0016_V.JPG,51.654,-89.9,0.58904833,1,0.58904833,,,
DJI_20250602162835_0058_V.JPG,40.999,-89.9,0.583738738,1,0.583738738,,,
DJI_20250602162714_0048_V.JPG,45.887,-89.9,0.580910319,1,0.580910319,,,
DJI_20250602163816_0044_V.JPG,62.203,-90,0.576703958,1,0.576703958,,,
DJI_20250602161914_0022_V.JPG,39.464,-89.9,0.575775803,1,0.575775803,,,
DJI_20250402170210_0065_V.JPG,81.933,-89.9,0.57173698,1,0.57173698,,,
DJI_20250527174711_0067_V.JPG,113.664,-89.9,0.570624236,1,0.570624236,,,
DJI_20250318172731_0048_V.JPG,62.882,-80.1,0.568839403,1,0.568839403,,,
DJI_20250402170159_0064_V.JPG,81.9,-89.9,0.566689983,1,0.566689983,,,
DJI_20250527174620_0063_V.JPG,79.558,-90,0.565665293,1,0.565665293,,,
DJI_20250602162030_0029_V.JPG,87.729,-89.9,0.565276978,1,0.565276978,,,
DJI_20250601174417_0003_V.JPG,76.4,-84.4,0.563709579,1,0.563709579,,,
DJI_20250602161932_0024_V.JPG,39.649,-89.9,0.562338635,1,0.562338635,,,
DJI_20250602162832_0057_V.JPG,39.065,-89.9,0.561997627,1,0.561997627,,,
DJI_20250316143203_0012_V.JPG,36.407,-89.9,0.561293998,1,0.561293998,,,
DJI_20250316143059_0006_V.JPG,35.092,-89.9,0.55503546,1,0.55503546,,,
DJI_20250318173654_0001_V.JPG,54.365,-71.5,0.554622553,1,0.554622553,,,
DJI_20250602163833_0048_V.JPG,85.42,-90,0.553524214,1,0.553524214,,,
DJI_20250527174648_0064_V.JPG,78.968,-89.9,0.553499586,1,0.553499586,,,
DJI_20250602161928_0023_V.JPG,39.713,-90,0.552348458,1,0.552348458,,,
